Action,PlayerScore,OpponentScore,AccruedScore,NumDiceAvailable,Dice1,Dice2,Dice3,Dice4,Dice5,Dice6,Outcome1,Outcome2,Outcome3,Outcome4,Outcome5,Outcome6
1,5850,7650,2700,5,1,3,4,2,3,0,1,0,0,0,0,0
0,2250,1000,100,2,0,0,0,0,0,0,1,0,0,0,0,0
1,1650,950,0,2,2,4,0,0,0,0,1,0,0,0,0,0
1,3200,5350,7200,5,1,1,4,3,4,0,1,1,0,0,0,0
1,2750,10050,800,5,4,2,3,5,4,0,0,0,0,1,0,0
0,10400,9600,150,1,0,0,0,0,0,0,0,0,0,0,0,0
1,3650,10050,1650,5,6,3,4,1,1,0,0,0,0,1,1,0
0,5650,2800,3300,1,0,0,0,0,0,0,0,0,0,0,0,0
1,2600,6100,50,6,1,3,5,5,3,6,1,0,0,0,0,0
1,6950,8450,0,3,5,1,6,0,0,0,0,1,0,0,0,0
1,3600,1800,0,2,4,2,0,0,0,0,0,1,0,0,0,0
0,4000,7350,650,4,0,0,0,0,0,0,1,0,0,0,0,0
1,2200,1550,850,5,4,5,4,3,2,0,0,1,0,0,0,0
0,9800,5150,1900,4,0,0,0,0,0,0,1,0,0,0,0,0
1,3650,3300,1750,5,5,6,6,1,1,0,0,0,0,1,1,0
1,7350,10450,1250,3,4,1,2,0,0,0,0,1,0,0,0,0
1,1650,4300,0,3,6,6,2,0,0,0,1,1,0,0,0,0
1,1800,1850,4150,3,2,4,5,0,0,0,0,0,1,0,0,0
0,1200,500,0,6,0,0,0,0,0,0,1,0,0,0,0,0
1,7900,9450,4150,6,3,2,4,6,5,6,0,0,0,0,1,0
1,8800,3900,1950,5,3,3,1,4,4,0,0,0,1,0,0,0
0,2750,1400,1950,4,0,0,0,0,0,0,1,0,0,0,0,0
1,8900,2600,0,6,5,5,2,2,2,1,0,0,0,0,0,1
1,8550,6550,100,2,1,3,0,0,0,0,1,0,0,0,0,0
0,3150,8150,850,6,0,0,0,0,0,0,1,0,0,0,0,0
0,9650,5100,700,5,0,0,0,0,0,0,1,0,0,0,0,0
1,7850,2750,900,2,3,5,0,0,0,0,0,1,0,0,0,0
0,7300,1000,3250,4,0,0,0,0,0,0,1,0,0,0,0,0
0,6150,4450,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,9100,2350,0,4,6,3,5,2,0,0,0,0,1,0,0,0
1,1200,7450,4150,3,2,5,2,0,0,0,0,1,0,0,0,0
0,8300,5000,200,2,0,0,0,0,0,0,1,0,0,0,0,0
0,9850,3650,1600,4,0,0,0,0,0,0,1,0,0,0,0,0
1,6000,5900,800,2,6,4,0,0,0,0,1,0,0,0,0,0
0,4700,5250,400,5,0,0,0,0,0,0,1,0,0,0,0,0
0,7500,3700,400,2,0,0,0,0,0,0,1,0,0,0,0,0
0,2450,1800,1400,6,0,0,0,0,0,0,1,0,0,0,0,0
1,1800,3300,1650,6,1,3,5,5,5,1,1,0,1,1,1,1
1,1400,5800,350,6,1,1,1,3,3,1,1,1,1,0,0,1
0,4800,8250,0,5,0,0,0,0,0,0,1,0,0,0,0,0
1,9750,6400,1300,2,4,3,0,0,0,0,0,1,0,0,0,0
1,10850,6000,0,3,3,6,6,0,0,0,0,1,1,0,0,0
1,8700,7150,5000,2,1,3,0,0,0,0,1,0,0,0,0,0
0,7700,7100,0,5,0,0,0,0,0,0,1,0,0,0,0,0
0,7300,7050,1850,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1750,3600,4000,6,1,1,2,6,6,2,1,1,1,1,1,1
1,2600,6250,950,5,1,3,6,5,4,0,1,0,0,0,0,0
1,9450,1950,300,4,1,1,6,4,0,0,1,1,0,0,0,0
0,700,350,1600,5,0,0,0,0,0,0,1,0,0,0,0,0
0,1150,2600,0,3,0,0,0,0,0,0,1,0,0,0,0,0
1,1750,7250,0,4,1,1,6,4,0,0,1,1,0,0,0,0
1,4250,3700,1100,4,5,5,1,1,0,0,0,0,1,1,0,0
1,6850,6300,950,3,1,5,5,0,0,0,1,0,0,0,0,0
1,7000,8550,800,2,5,5,0,0,0,0,1,1,0,0,0,0
1,1600,4450,550,5,2,1,5,5,2,0,0,1,0,0,0,0
0,1350,10750,0,3,0,0,0,0,0,0,1,0,0,0,0,0
1,3400,9300,0,6,1,6,3,6,4,5,1,0,0,0,0,0
0,800,6150,1100,5,0,0,0,0,0,0,1,0,0,0,0,0
1,9050,1850,0,2,2,1,0,0,0,0,0,1,0,0,0,0
0,2250,7400,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,6400,7600,900,2,2,1,0,0,0,0,0,1,0,0,0,0
1,8050,3600,0,3,6,2,2,0,0,0,1,0,0,0,0,0
0,6650,7200,850,5,0,0,0,0,0,0,1,0,0,0,0,0
1,5800,3900,4550,5,3,6,1,6,1,0,0,0,1,0,1,0
0,8500,7900,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,7600,4200,450,4,5,5,3,2,0,0,1,1,0,0,0,0
0,4500,5850,1950,1,0,0,0,0,0,0,0,0,0,0,0,0
0,8000,5450,2450,5,0,0,0,0,0,0,1,0,0,0,0,0
0,2200,7500,900,4,0,0,0,0,0,0,1,0,0,0,0,0
1,8100,7700,0,6,4,3,5,5,4,5,0,0,1,1,0,1
1,8250,4650,0,5,6,5,5,1,6,0,0,0,0,1,0,0
1,3500,7700,700,3,6,5,4,0,0,0,0,1,0,0,0,0
1,5200,600,250,5,5,2,6,1,5,0,0,0,0,1,0,0
0,7400,5050,0,5,0,0,0,0,0,0,1,0,0,0,0,0
0,5250,4450,0,2,0,0,0,0,0,0,1,0,0,0,0,0
0,4050,3100,1150,6,0,0,0,0,0,0,1,0,0,0,0,0
0,7700,1350,0,3,0,0,0,0,0,0,1,0,0,0,0,0
1,1300,6150,350,3,5,6,1,0,0,0,0,0,1,0,0,0
0,4100,950,1950,1,0,0,0,0,0,0,0,0,0,0,0,0
1,5000,7700,450,2,5,1,0,0,0,0,0,1,0,0,0,0
1,6850,4800,0,5,4,6,1,3,1,0,0,0,1,0,1,0
0,3550,8300,0,4,0,0,0,0,0,0,1,0,0,0,0,0
1,2800,7500,400,4,1,3,5,3,0,0,1,0,0,0,0,0
1,8850,5750,1400,2,6,3,0,0,0,0,1,0,0,0,0,0
1,1400,2950,3250,2,6,4,0,0,0,0,1,0,0,0,0,0
0,6800,8400,900,3,0,0,0,0,0,0,1,0,0,0,0,0
1,5600,11000,1900,4,6,4,5,5,0,0,0,0,1,1,0,0
1,9900,6700,850,5,5,5,6,5,5,0,1,1,0,1,1,0
1,2300,150,0,6,6,1,3,5,5,1,0,1,0,0,0,1
0,8950,7550,3700,1,0,0,0,0,0,0,0,0,0,0,0,0
0,9150,3700,0,2,0,0,0,0,0,0,1,0,0,0,0,0
0,8600,4950,50,3,0,0,0,0,0,0,1,0,0,0,0,0
1,5850,6350,650,2,6,5,0,0,0,0,0,1,0,0,0,0
1,7500,4550,300,3,2,1,2,0,0,0,0,1,0,0,0,0
0,350,3300,250,5,0,0,0,0,0,0,1,0,0,0,0,0
1,800,7900,50,2,1,5,0,0,0,0,1,0,0,0,0,0
1,4450,6200,1950,5,4,5,4,4,5,0,1,1,1,1,1,0
1,6800,7750,550,5,6,5,6,4,2,0,0,1,0,0,0,0
1,8500,6350,0,3,4,3,1,0,0,0,0,0,1,0,0,0
1,650,9300,0,5,4,5,3,6,4,0,0,1,0,0,0,0
0,950,9200,1150,6,0,0,0,0,0,0,1,0,0,0,0,0
0,7150,10700,650,6,0,0,0,0,0,0,1,0,0,0,0,0
0,3200,2550,900,4,0,0,0,0,0,0,1,0,0,0,0,0
0,4650,3600,3050,1,0,0,0,0,0,0,0,0,0,0,0,0
0,9050,6600,250,1,0,0,0,0,0,0,0,0,0,0,0,0
1,7750,6250,0,6,5,6,5,2,2,4,1,0,1,0,0,0
0,7400,9050,6800,4,0,0,0,0,0,0,1,0,0,0,0,0
0,8100,5250,200,2,0,0,0,0,0,0,1,0,0,0,0,0
0,4100,5950,0,3,0,0,0,0,0,0,1,0,0,0,0,0
0,150,6500,1400,5,0,0,0,0,0,0,1,0,0,0,0,0
1,7950,3250,0,5,3,3,4,6,4,0,1,1,0,0,0,0
0,9450,1000,850,6,0,0,0,0,0,0,1,0,0,0,0,0
0,600,8350,950,3,0,0,0,0,0,0,1,0,0,0,0,0
0,4000,6000,0,4,0,0,0,0,0,0,1,0,0,0,0,0
0,7600,1200,600,4,0,0,0,0,0,0,1,0,0,0,0,0
1,800,8150,0,4,6,2,4,2,0,0,1,0,0,0,0,0
0,4050,3100,2800,4,0,0,0,0,0,0,1,0,0,0,0,0
0,150,7650,0,4,0,0,0,0,0,0,1,0,0,0,0,0
1,650,8800,1350,6,4,3,2,2,5,4,0,0,0,0,1,0
0,10950,7100,300,3,0,0,0,0,0,0,1,0,0,0,0,0
0,7550,9500,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,250,5700,700,2,4,4,0,0,0,0,1,1,0,0,0,0
1,4550,9150,1900,3,3,2,6,0,0,0,0,0,1,0,0,0
1,9650,7600,1650,5,3,6,6,5,6,0,0,1,1,1,1,0
1,8800,1150,200,2,2,6,0,0,0,0,0,1,0,0,0,0
0,9800,6250,6500,2,0,0,0,0,0,0,0,0,0,0,0,0
0,5750,7150,900,1,0,0,0,0,0,0,0,0,0,0,0,0
0,6800,50,1300,1,0,0,0,0,0,0,0,0,0,0,0,0
1,2850,7250,1900,6,6,6,6,5,4,1,1,1,1,1,0,1
1,5400,7300,0,4,2,4,3,2,0,0,1,0,0,1,0,0
0,600,5300,1600,2,0,0,0,0,0,0,0,0,0,0,0,0
0,7950,10950,600,2,0,0,0,0,0,0,1,0,0,0,0,0
0,8150,7500,0,2,0,0,0,0,0,0,1,0,0,0,0,0
1,3500,6400,0,6,3,2,4,4,3,4,0,0,1,1,0,1
1,8000,300,100,3,4,1,1,0,0,0,0,1,1,0,0,0
1,9100,600,0,3,2,4,1,0,0,0,0,0,1,0,0,0
1,2150,6200,850,2,4,1,0,0,0,0,0,1,0,0,0,0
1,4850,3550,900,3,3,5,2,0,0,0,0,1,0,0,0,0
0,4450,2500,1000,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1900,5200,0,5,1,1,2,3,6,0,1,1,0,0,0,0
0,7900,6000,400,4,0,0,0,0,0,0,1,0,0,0,0,0
1,2350,4550,550,2,1,2,0,0,0,0,1,0,0,0,0,0
1,7500,3350,700,5,5,6,2,2,6,0,1,0,0,0,0,0
0,3600,10800,450,5,0,0,0,0,0,0,1,0,0,0,0,0
1,6100,7150,800,6,5,5,2,5,4,6,1,1,0,1,0,0
1,1800,2900,0,2,5,4,0,0,0,0,1,0,0,0,0,0
0,8700,4400,800,5,0,0,0,0,0,0,1,0,0,0,0,0
1,7200,1700,0,2,1,4,0,0,0,0,1,0,0,0,0,0
0,3900,5950,650,5,0,0,0,0,0,0,1,0,0,0,0,0
0,2800,2050,0,3,0,0,0,0,0,0,1,0,0,0,0,0
0,6850,6300,0,2,0,0,0,0,0,0,1,0,0,0,0,0
1,7750,250,0,4,6,2,3,5,0,0,0,0,0,1,0,0
0,200,9100,1000,5,0,0,0,0,0,0,1,0,0,0,0,0
0,1650,4600,1650,1,0,0,0,0,0,0,0,0,0,0,0,0
1,9050,3000,50,4,2,1,5,6,0,0,0,1,0,0,0,0
0,2900,9100,0,2,0,0,0,0,0,0,1,0,0,0,0,0
0,6100,2000,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1500,1050,400,3,0,0,0,0,0,0,1,0,0,0,0,0
1,900,6050,950,5,3,3,4,4,3,0,0,0,1,1,0,0
1,4700,2050,0,6,1,4,4,2,5,4,1,1,1,0,1,1
0,7750,6600,350,4,0,0,0,0,0,0,1,0,0,0,0,0
0,3700,1750,0,5,0,0,0,0,0,0,1,0,0,0,0,0
0,9450,3600,0,6,0,0,0,0,0,0,1,0,0,0,0,0
0,9000,9900,750,1,0,0,0,0,0,0,0,0,0,0,0,0
0,4750,9000,0,6,0,0,0,0,0,0,1,0,0,0,0,0
0,8500,5400,0,2,0,0,0,0,0,0,1,0,0,0,0,0
1,5500,7350,0,3,5,4,5,0,0,0,1,0,1,0,0,0
1,5600,900,1350,5,4,2,5,3,6,0,0,0,1,0,0,0
0,4350,5850,950,4,0,0,0,0,0,0,1,0,0,0,0,0
1,100,9800,0,6,2,4,5,3,4,3,0,0,1,0,0,0
1,8650,400,1850,6,6,1,4,3,5,4,0,1,0,0,0,0
0,10350,8900,750,4,0,0,0,0,0,0,1,0,0,0,0,0
1,6750,1800,100,2,5,1,0,0,0,0,0,1,0,0,0,0
0,1700,950,1200,2,0,0,0,0,0,0,0,0,0,0,0,0
0,8550,1950,3550,4,0,0,0,0,0,0,1,0,0,0,0,0
1,10350,1900,2150,5,6,1,1,6,2,0,0,1,1,0,0,0
0,4700,850,600,2,0,0,0,0,0,0,1,0,0,0,0,0
1,7150,4050,0,2,6,4,0,0,0,0,1,0,0,0,0,0
0,9000,3650,6850,1,0,0,0,0,0,0,0,0,0,0,0,0
1,4400,750,1350,3,2,2,6,0,0,0,0,0,1,0,0,0
0,1050,4250,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1000,900,2550,4,0,0,0,0,0,0,1,0,0,0,0,0
1,10850,9200,0,6,3,2,6,5,1,6,0,0,0,0,1,0
1,9200,1500,850,5,6,6,6,4,4,0,1,1,1,0,0,0
1,4950,7300,400,3,5,6,3,0,0,0,1,0,0,0,0,0
1,5850,9100,1600,3,2,4,3,0,0,0,1,0,0,0,0,0
1,5550,3450,550,4,5,5,2,4,0,0,1,1,0,0,0,0
1,5150,5150,250,3,3,4,1,0,0,0,0,0,1,0,0,0
1,9400,2200,2850,6,6,4,2,1,2,6,0,0,0,1,0,0
1,1800,3900,150,4,2,4,1,6,0,0,0,0,1,0,0,0
1,7050,9250,700,5,4,6,1,3,2,0,0,0,1,0,0,0
1,5550,5850,3450,4,3,3,2,4,0,0,0,0,1,0,0,0
1,5800,5300,250,2,3,2,0,0,0,0,0,1,0,0,0,0
0,8150,5250,950,6,0,0,0,0,0,0,1,0,0,0,0,0
1,4250,6300,0,3,4,6,6,0,0,0,0,1,1,0,0,0
1,5300,500,700,5,2,6,2,2,4,0,0,1,0,0,0,0
1,3950,7300,1750,3,5,6,1,0,0,0,0,0,1,0,0,0
1,6400,7100,650,5,1,6,1,3,4,0,1,0,1,0,0,0
0,800,1300,300,2,0,0,0,0,0,0,1,0,0,0,0,0
1,200,5350,0,2,2,4,0,0,0,0,1,0,0,0,0,0
0,6150,7900,0,4,0,0,0,0,0,0,1,0,0,0,0,0
1,7250,1900,1150,3,6,4,4,0,0,0,1,0,0,0,0,0
1,2550,4750,1550,3,6,1,5,0,0,0,0,1,0,0,0,0
0,6700,8200,0,4,0,0,0,0,0,0,1,0,0,0,0,0
1,6100,10450,1800,4,4,5,6,5,0,0,0,1,0,1,0,0
1,7450,9250,0,5,1,1,6,4,6,0,1,1,0,0,0,0
1,7950,2850,400,3,6,4,4,0,0,0,1,0,0,0,0,0
